,weather
1373,Moderate snow
1374,Moderate snow
1375,Moderate snow
1376,Moderate snow
1377,Moderate snow
1378,Moderate snow
1379,Moderate snow
1380,Moderate snow
1381,Moderate snow
1382,Moderate snow
1383,Moderate snow
1384,Moderate snow
1385,Moderate snow
1386,Moderate snow
1387,Moderate snow
1388,Moderate snow
1389,Moderate snow
1390,Moderate snow
1391,Moderate snow
1392,Moderate snow
1393,Moderate snow
1394,Moderate snow
1395,Moderate snow
1396,Moderate snow
1397,Moderate snow
1398,Moderate snow
1399,Moderate snow
1400,Moderate snow
1401,Moderate snow
1402,Moderate snow
1403,Moderate snow
1404,Moderate snow
1405,Moderate snow
1406,Moderate snow
1407,Moderate snow
1408,Moderate snow
1409,Moderate snow
1410,Moderate snow
1411,Moderate snow
1412,Moderate snow
1413,Moderate snow
1414,Moderate snow
1415,Moderate snow
1416,Moderate snow
1417,Moderate snow
1418,Moderate snow
1419,Moderate snow
1420,Moderate snow
1421,Moderate snow
1422,Moderate snow
1423,Moderate snow
1424,Moderate snow
1425,Moderate snow
1426,Moderate snow
1427,Moderate snow
1428,Moderate snow
1429,Moderate snow
1430,Moderate snow
1431,Moderate snow
1432,Moderate snow
1433,Moderate snow
1434,Moderate snow
1435,Moderate snow
1436,Moderate snow
1437,Moderate snow
1438,Moderate snow
1439,Moderate snow
1440,Moderate snow
1441,Moderate snow
1442,Moderate snow
1443,Moderate snow
1444,Moderate snow
1445,Moderate snow
1446,Moderate snow
1447,Moderate snow
1448,Moderate snow
1449,Moderate snow
1450,Moderate snow
1451,Moderate snow
1452,Moderate snow
1453,Moderate snow
1454,Moderate snow
1455,Moderate snow
1456,Moderate snow
1457,Moderate snow
1458,Moderate snow
1459,Moderate snow
1460,Moderate snow
1461,Moderate snow
1462,Moderate snow
1463,Moderate snow
1464,Moderate snow
1465,Moderate snow
1466,Moderate snow
1467,Moderate snow
1468,Moderate snow
1469,Moderate snow
1470,Moderate snow
1471,Moderate snow
1472,Moderate snow
1473,Moderate snow
1474,Moderate snow
1475,Moderate snow
1476,Moderate snow
1477,Moderate snow
1478,Moderate snow
1479,Moderate snow
1480,Moderate snow
1481,Moderate snow
1482,Moderate snow
1483,Moderate snow
1484,Moderate snow
1485,Moderate snow
1486,Moderate snow
1487,Moderate snow
1488,Moderate snow
1489,Moderate snow
1490,Moderate snow
1491,Moderate snow
1492,Moderate snow
1493,Moderate snow
1494,Moderate snow
1495,Moderate snow
1496,Moderate snow
1497,Moderate snow
1498,Moderate snow
1499,Moderate snow
1500,Moderate snow
1501,Moderate snow
1502,Moderate snow
1503,Moderate snow
1504,Moderate snow
1505,Moderate snow
1506,Moderate snow
1507,Moderate snow
1508,Moderate snow
1509,Moderate snow
1510,Moderate snow
1511,Moderate snow
1512,Moderate snow
1513,Moderate snow
1514,Moderate snow
1515,Moderate snow
1516,Moderate snow
1517,Moderate snow
1518,Moderate snow
1519,Moderate snow
1520,Moderate snow
1521,Moderate snow
1522,Moderate snow
1523,Moderate snow
1524,Moderate snow
1525,Moderate snow
1526,Moderate snow
1527,Moderate snow
1528,Moderate snow
1529,Moderate snow
1530,Moderate snow
1531,Moderate snow
1532,Moderate snow
1533,Moderate snow
1534,Moderate snow
1535,Moderate snow
1536,Moderate snow
1537,Moderate snow
1538,Moderate snow
1539,Moderate snow
1540,Moderate snow
1541,Moderate snow
1542,Moderate snow
1543,Moderate snow
1544,Moderate snow
1545,Moderate snow
1546,Moderate snow
1547,Moderate snow
1548,Moderate snow
1549,Moderate snow
1550,Moderate snow
1551,Moderate snow
1552,Moderate snow
1553,Moderate snow
1554,Moderate snow
1555,Moderate snow
1556,Moderate snow
1557,Moderate snow
1558,Moderate snow
1559,Moderate snow
1560,Moderate snow
1561,Moderate snow
1562,Moderate snow
1563,Moderate snow
1564,Moderate snow
1565,Moderate snow
1566,Moderate snow
1567,Moderate snow
1568,Moderate snow
1569,Moderate snow
1570,Moderate snow
1571,Moderate snow
1572,Moderate snow
1573,Moderate snow
1574,Moderate snow
1575,Moderate snow
1576,Moderate snow
1577,Moderate snow
1578,Moderate snow
1579,Moderate snow
1580,Moderate snow
1581,Moderate snow
1582,Moderate snow
1583,Moderate snow
1584,Moderate snow
1585,Moderate snow
1586,Moderate snow
1587,Cloudy
1588,Cloudy
1589,Cloudy
1590,Cloudy
1591,Cloudy
1592,Cloudy
1593,Cloudy
1594,Cloudy
1595,Cloudy
1596,Cloudy
1597,Cloudy
1598,Cloudy
1599,Cloudy
1600,Cloudy
1601,Cloudy
1602,Cloudy
1603,Cloudy
1604,Cloudy
1605,Cloudy
1606,Cloudy
1607,Cloudy
1608,Cloudy
1609,Cloudy
1610,Cloudy
1611,Cloudy
1612,Mist
1613,Mist
1614,Mist
1615,Mist
1616,Mist
1617,Mist
1618,Mist
1619,Mist
1620,Mist
1621,Mist
1622,Mist
1623,Mist
1624,Mist
1625,Mist
1626,Mist
1627,Mist
1628,Mist
1629,Mist
1630,Mist
1631,Mist
1632,Fog
1633,Fog
1634,Fog
1635,Fog
1636,Fog
1637,Fog
1638,Fog
1639,Fog
1640,Fog
1641,Fog
1642,Fog
1643,Fog
1644,Fog
1645,Fog
1646,Moderate snow
1647,Moderate snow
1648,Moderate snow
1649,Moderate snow
1650,Moderate snow
1651,Moderate snow
1652,Moderate snow
1653,Moderate snow
1654,Moderate snow
1655,Moderate snow
1656,Moderate snow
1657,Moderate snow
1658,Moderate snow
1659,Moderate snow
1660,Moderate snow
1661,Moderate snow
1662,Moderate snow
1663,Moderate snow
1664,Moderate snow
1665,Moderate snow
1666,Moderate snow
1667,Moderate snow
1668,Moderate snow
1669,Moderate snow
1670,Moderate snow
1671,Moderate snow
1672,Moderate snow
1673,Moderate snow
1674,Moderate snow
1675,Moderate snow
1676,Moderate snow
1677,Moderate snow
1678,Moderate snow
1679,Moderate snow
1680,Moderate snow
1681,Moderate snow
1682,Moderate snow
1683,Moderate snow
