,weather
1393,Heavy snow
1394,Heavy snow
1395,Heavy snow
1396,Heavy snow
1397,Heavy snow
1398,Heavy snow
1399,Heavy snow
1400,Heavy snow
1401,Heavy snow
1402,Heavy snow
1403,Heavy snow
1404,Heavy snow
1405,Heavy snow
1406,Heavy snow
1407,Heavy snow
1408,Heavy snow
1409,Heavy snow
1410,Heavy snow
1411,Heavy snow
1412,Heavy snow
1413,Heavy snow
1414,Heavy snow
1415,Heavy snow
1416,Heavy snow
1417,Heavy snow
1418,Heavy snow
1419,Heavy snow
1420,Heavy snow
1421,Heavy snow
1422,Heavy snow
1423,Heavy snow
1424,Heavy snow
1425,Heavy snow
1426,Heavy snow
1427,Heavy snow
1428,Heavy snow
1429,Heavy snow
1430,Heavy snow
1431,Heavy snow
1432,Heavy snow
1433,Heavy snow
1434,Heavy snow
1435,Heavy snow
1436,Heavy snow
1437,Heavy snow
1438,Heavy snow
1439,Heavy snow
1440,Heavy snow
1441,Heavy snow
1442,Heavy snow
1443,Heavy snow
1444,Heavy snow
